case_id,defect_id,category,expected_error_code,case_path,clean
D01-01,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_01,false
D01-02,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_02,false
D01-03,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_03,false
D01-04,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_04,false
D01-05,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_05,false
D01-06,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_06,false
D01-07,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_07,false
D01-08,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_08,false
D01-09,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_09,false
D01-10,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_10,false
D01-11,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_11,false
D01-12,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_12,false
D01-13,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_13,false
D01-14,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_14,false
D01-15,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_15,false
D01-16,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_16,false
D01-17,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_17,false
D01-18,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_18,false
D01-19,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_19,false
D01-20,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_20,false
D01-21,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_21,false
D01-22,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_22,false
D01-23,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_23,false
D01-24,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_24,false
D01-25,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_25,false
D01-26,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_26,false
D01-27,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_27,false
D01-28,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_28,false
D01-29,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_29,false
D01-30,D01,Structural,MISSING_ARTIFACT,examples/corrupted_artifact_cases_extended/d01/case_30,false
D02-01,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_01,false
D02-02,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_02,false
D02-03,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_03,false
D02-04,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_04,false
D02-05,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_05,false
D02-06,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_06,false
D02-07,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_07,false
D02-08,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_08,false
D02-09,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_09,false
D02-10,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_10,false
D02-11,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_11,false
D02-12,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_12,false
D02-13,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_13,false
D02-14,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_14,false
D02-15,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_15,false
D02-16,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_16,false
D02-17,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_17,false
D02-18,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_18,false
D02-19,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_19,false
D02-20,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_20,false
D02-21,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_21,false
D02-22,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_22,false
D02-23,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_23,false
D02-24,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_24,false
D02-25,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_25,false
D02-26,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_26,false
D02-27,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_27,false
D02-28,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_28,false
D02-29,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_29,false
D02-30,D02,Structural,UNINDEXED_ARTIFACT,examples/corrupted_artifact_cases_extended/d02/case_30,false
D03-01,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_01,false
D03-02,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_02,false
D03-03,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_03,false
D03-04,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_04,false
D03-05,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_05,false
D03-06,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_06,false
D03-07,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_07,false
D03-08,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_08,false
D03-09,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_09,false
D03-10,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_10,false
D03-11,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_11,false
D03-12,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_12,false
D03-13,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_13,false
D03-14,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_14,false
D03-15,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_15,false
D03-16,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_16,false
D03-17,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_17,false
D03-18,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_18,false
D03-19,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_19,false
D03-20,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_20,false
D03-21,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_21,false
D03-22,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_22,false
D03-23,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_23,false
D03-24,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_24,false
D03-25,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_25,false
D03-26,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_26,false
D03-27,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_27,false
D03-28,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_28,false
D03-29,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_29,false
D03-30,D03,Structural,SCHEMA_INVALID,examples/corrupted_artifact_cases_extended/d03/case_30,false
D04-01,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_01,false
D04-02,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_02,false
D04-03,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_03,false
D04-04,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_04,false
D04-05,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_05,false
D04-06,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_06,false
D04-07,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_07,false
D04-08,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_08,false
D04-09,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_09,false
D04-10,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_10,false
D04-11,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_11,false
D04-12,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_12,false
D04-13,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_13,false
D04-14,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_14,false
D04-15,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_15,false
D04-16,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_16,false
D04-17,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_17,false
D04-18,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_18,false
D04-19,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_19,false
D04-20,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_20,false
D04-21,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_21,false
D04-22,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_22,false
D04-23,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_23,false
D04-24,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_24,false
D04-25,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_25,false
D04-26,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_26,false
D04-27,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_27,false
D04-28,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_28,false
D04-29,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_29,false
D04-30,D04,Structural,BROKEN_PATH,examples/corrupted_artifact_cases_extended/d04/case_30,false
D05-01,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_01,false
D05-02,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_02,false
D05-03,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_03,false
D05-04,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_04,false
D05-05,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_05,false
D05-06,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_06,false
D05-07,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_07,false
D05-08,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_08,false
D05-09,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_09,false
D05-10,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_10,false
D05-11,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_11,false
D05-12,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_12,false
D05-13,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_13,false
D05-14,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_14,false
D05-15,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_15,false
D05-16,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_16,false
D05-17,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_17,false
D05-18,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_18,false
D05-19,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_19,false
D05-20,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_20,false
D05-21,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_21,false
D05-22,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_22,false
D05-23,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_23,false
D05-24,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_24,false
D05-25,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_25,false
D05-26,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_26,false
D05-27,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_27,false
D05-28,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_28,false
D05-29,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_29,false
D05-30,D05,Integrity,HASH_MISMATCH,examples/corrupted_artifact_cases_extended/d05/case_30,false
D06-01,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_01,false
D06-02,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_02,false
D06-03,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_03,false
D06-04,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_04,false
D06-05,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_05,false
D06-06,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_06,false
D06-07,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_07,false
D06-08,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_08,false
D06-09,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_09,false
D06-10,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_10,false
D06-11,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_11,false
D06-12,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_12,false
D06-13,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_13,false
D06-14,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_14,false
D06-15,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_15,false
D06-16,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_16,false
D06-17,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_17,false
D06-18,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_18,false
D06-19,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_19,false
D06-20,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_20,false
D06-21,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_21,false
D06-22,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_22,false
D06-23,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_23,false
D06-24,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_24,false
D06-25,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_25,false
D06-26,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_26,false
D06-27,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_27,false
D06-28,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_28,false
D06-29,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_29,false
D06-30,D06,Integrity,STALE_CHECKSUM,examples/corrupted_artifact_cases_extended/d06/case_30,false
D07-01,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_01,false
D07-02,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_02,false
D07-03,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_03,false
D07-04,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_04,false
D07-05,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_05,false
D07-06,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_06,false
D07-07,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_07,false
D07-08,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_08,false
D07-09,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_09,false
D07-10,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_10,false
D07-11,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_11,false
D07-12,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_12,false
D07-13,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_13,false
D07-14,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_14,false
D07-15,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_15,false
D07-16,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_16,false
D07-17,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_17,false
D07-18,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_18,false
D07-19,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_19,false
D07-20,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_20,false
D07-21,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_21,false
D07-22,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_22,false
D07-23,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_23,false
D07-24,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_24,false
D07-25,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_25,false
D07-26,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_26,false
D07-27,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_27,false
D07-28,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_28,false
D07-29,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_29,false
D07-30,D07,Integrity,DUPLICATE_ARTIFACT_ID,examples/corrupted_artifact_cases_extended/d07/case_30,false
D08-01,D08,Provenance,MISSING_TOOL_VERSION,examples/corrupted_artifact_cases_extended/d08/case_01,false
D08-02,D08,Provenance,MISSING_TOOL_VERSION,examples/corrupted_artifact_cases_extended/d08/case_02,false
D08-03,D08,Provenance,MISSING_TOOL_VERSION,examples/corrupted_artifact_cases_extended/d08/case_03,false
D08-04,D08,Provenance,MISSING_TOOL_VERSION,examples/corrupted_artifact_cases_extended/d08/case_04,false
D08-05,D08,Provenance,MISSING_TOOL_VERSION,examples/corrupted_artifact_cases_extended/d08/case_05,false
D08-06,D08,Provenance,MISSING_TOOL_VERSION,examples/corrupted_artifact_cases_extended/d08/case_06,false
D08-07,D08,Provenance,MISSING_TOOL_VERSION,examples/corrupted_artifact_cases_extended/d08/case_07,false
D08-08,D08,Provenance,MISSING_TOOL_VERSION,examples/corrupted_artifact_cases_extended/d08/case_08,false
D08-09,D08,Provenance,MISSING_TOOL_VERSION,examples/corrupted_artifact_cases_extended/d08/case_09,false
D08-10,D08,Provenance,MISSING_TOOL_VERSION,examples/corrupted_artifact_cases_extended/d08/case_10,false
D08-11,D08,Provenance,MISSING_TOOL_VERSION,examples/corrupted_artifact_cases_extended/d08/case_11,false
D08-12,D08,Provenance,MISSING_TOOL_VERSION,examples/corrupted_artifact_cases_extended/d08/case_12,false
D08-13,D08,Provenance,MISSING_TOOL_VERSION,examples/corrupted_artifact_cases_extended/d08/case_13,false
D08-14,D08,Provenance,MISSING_TOOL_VERSION,examples/corrupted_artifact_cases_extended/d08/case_14,false
D08-15,D08,Provenance,MISSING_TOOL_VERSION,examples/corrupted_artifact_cases_extended/d08/case_15,false
D08-16,D08,Provenance,MISSING_TOOL_VERSION,examples/corrupted_artifact_cases_extended/d08/case_16,false
D08-17,D08,Provenance,MISSING_TOOL_VERSION,examples/corrupted_artifact_cases_extended/d08/case_17,false
D08-18,D08,Provenance,MISSING_TOOL_VERSION,examples/corrupted_artifact_cases_extended/d08/case_18,false
D08-19,D08,Provenance,MISSING_TOOL_VERSION,examples/corrupted_artifact_cases_extended/d08/case_19,false
D08-20,D08,Provenance,MISSING_TOOL_VERSION,examples/corrupted_artifact_cases_extended/d08/case_20,false
D08-21,D08,Provenance,MISSING_TOOL_VERSION,examples/corrupted_artifact_cases_extended/d08/case_21,false
D08-22,D08,Provenance,MISSING_TOOL_VERSION,examples/corrupted_artifact_cases_extended/d08/case_22,false
D08-23,D08,Provenance,MISSING_TOOL_VERSION,examples/corrupted_artifact_cases_extended/d08/case_23,false
D08-24,D08,Provenance,MISSING_TOOL_VERSION,examples/corrupted_artifact_cases_extended/d08/case_24,false
D08-25,D08,Provenance,MISSING_TOOL_VERSION,examples/corrupted_artifact_cases_extended/d08/case_25,false
D08-26,D08,Provenance,MISSING_TOOL_VERSION,examples/corrupted_artifact_cases_extended/d08/case_26,false
