case_id,subset,expected_adapter,replayable_open_source,metadata_only,public_source,hardware_required,commercial_dependency_required,manual_adapter_fix_required,source_repo,source_commit,source_path,source_url,local_path,license_note,fetch_status,fetched_at_epoch
yosys_cmos_counter,yosys_examples_subset,yosys,true,false,true,false,false,false,YosysHQ/yosys,5d7486115ae5c5a4f87a4b8f9173b5f245a22536,examples/cmos/counter.v,https://raw.githubusercontent.com/YosysHQ/yosys/5d7486115ae5c5a4f87a4b8f9173b5f245a22536/examples/cmos/counter.v,yosys_examples_subset/yosys_cmos_counter/source/counter.v,Yosys repository license,cached,1782135125
yosys_cmos_counter,yosys_examples_subset,yosys,true,false,true,false,false,false,YosysHQ/yosys,5d7486115ae5c5a4f87a4b8f9173b5f245a22536,examples/cmos/counter.ys,https://raw.githubusercontent.com/YosysHQ/yosys/5d7486115ae5c5a4f87a4b8f9173b5f245a22536/examples/cmos/counter.ys,yosys_examples_subset/yosys_cmos_counter/source/counter.ys,Yosys repository license,cached,1782135125
yosys_cmos_counter,yosys_examples_subset,yosys,true,false,true,false,false,false,YosysHQ/yosys,5d7486115ae5c5a4f87a4b8f9173b5f245a22536,examples/cmos/cmos_cells.v,https://raw.githubusercontent.com/YosysHQ/yosys/5d7486115ae5c5a4f87a4b8f9173b5f245a22536/examples/cmos/cmos_cells.v,yosys_examples_subset/yosys_cmos_counter/source/cmos_cells.v,Yosys repository license,cached,1782135125
yosys_osu035_example,yosys_examples_subset,yosys,true,false,true,false,false,false,YosysHQ/yosys,5d7486115ae5c5a4f87a4b8f9173b5f245a22536,examples/osu035/example.v,https://raw.githubusercontent.com/YosysHQ/yosys/5d7486115ae5c5a4f87a4b8f9173b5f245a22536/examples/osu035/example.v,yosys_examples_subset/yosys_osu035_example/source/example.v,Yosys repository license,cached,1782135125
yosys_osu035_example,yosys_examples_subset,yosys,true,false,true,false,false,false,YosysHQ/yosys,5d7486115ae5c5a4f87a4b8f9173b5f245a22536,examples/osu035/example.ys,https://raw.githubusercontent.com/YosysHQ/yosys/5d7486115ae5c5a4f87a4b8f9173b5f245a22536/examples/osu035/example.ys,yosys_examples_subset/yosys_osu035_example/source/example.ys,Yosys repository license,cached,1782135125
yosys_smtbmc_demo1,yosys_examples_subset,yosys,true,false,true,false,false,false,YosysHQ/yosys,5d7486115ae5c5a4f87a4b8f9173b5f245a22536,examples/smtbmc/demo1.v,https://raw.githubusercontent.com/YosysHQ/yosys/5d7486115ae5c5a4f87a4b8f9173b5f245a22536/examples/smtbmc/demo1.v,yosys_examples_subset/yosys_smtbmc_demo1/source/demo1.v,Yosys repository license,cached,1782135125
verilator_make_hello_c,verilog_open_core_subset,verilator,true,false,true,false,false,false,verilator/verilator,eafe9636cf58a74a6a90b6127821b2f4fab8940f,examples/make_hello_c/top.v,https://raw.githubusercontent.com/verilator/verilator/eafe9636cf58a74a6a90b6127821b2f4fab8940f/examples/make_hello_c/top.v,verilog_open_core_subset/verilator_make_hello_c/source/top.v,Verilator repository license,cached,1782135125
verilator_make_tracing_c,verilog_open_core_subset,verilator,true,false,true,false,false,false,verilator/verilator,eafe9636cf58a74a6a90b6127821b2f4fab8940f,examples/make_tracing_c/top.v,https://raw.githubusercontent.com/verilator/verilator/eafe9636cf58a74a6a90b6127821b2f4fab8940f/examples/make_tracing_c/top.v,verilog_open_core_subset/verilator_make_tracing_c/source/top.v,Verilator repository license,cached,1782135125
verilator_make_tracing_c,verilog_open_core_subset,verilator,true,false,true,false,false,false,verilator/verilator,eafe9636cf58a74a6a90b6127821b2f4fab8940f,examples/make_tracing_c/sub.v,https://raw.githubusercontent.com/verilator/verilator/eafe9636cf58a74a6a90b6127821b2f4fab8940f/examples/make_tracing_c/sub.v,verilog_open_core_subset/verilator_make_tracing_c/source/sub.v,Verilator repository license,cached,1782135125
ngspice_gain_stage,ngspice_examples_subset,ngspice,true,false,true,false,false,false,ngspice/ngspice,032b1c32c4dbad45ff132bcfac1dbecadbd8abb0,examples/various/gain_stage.cir,https://raw.githubusercontent.com/ngspice/ngspice/032b1c32c4dbad45ff132bcfac1dbecadbd8abb0/examples/various/gain_stage.cir,ngspice_examples_subset/ngspice_gain_stage/source/gain_stage.cir,ngspice repository license,cached,1782135125
ngspice_param_sweep,ngspice_examples_subset,ngspice,true,false,true,false,false,false,ngspice/ngspice,032b1c32c4dbad45ff132bcfac1dbecadbd8abb0,examples/various/param_sweep.cir,https://raw.githubusercontent.com/ngspice/ngspice/032b1c32c4dbad45ff132bcfac1dbecadbd8abb0/examples/various/param_sweep.cir,ngspice_examples_subset/ngspice_param_sweep/source/param_sweep.cir,ngspice repository license,cached,1782135125
ngspice_rc_meas_ac,ngspice_examples_subset,ngspice,true,false,true,false,false,false,ngspice/ngspice,032b1c32c4dbad45ff132bcfac1dbecadbd8abb0,examples/measure/rc-meas-ac.sp,https://raw.githubusercontent.com/ngspice/ngspice/032b1c32c4dbad45ff132bcfac1dbecadbd8abb0/examples/measure/rc-meas-ac.sp,ngspice_examples_subset/ngspice_rc_meas_ac/source/rc-meas-ac.sp,ngspice repository license,cached,1782135125
logisim_example_1,logisim_sample_subset,logisim,false,true,true,false,false,false,NenadPantelic/Simple-digital-logic-circuits-in-LogiSim,6e9fd4abe7d71b3767099a7a404d9ad7d47f0e2b,Example_1.circ,https://raw.githubusercontent.com/NenadPantelic/Simple-digital-logic-circuits-in-LogiSim/6e9fd4abe7d71b3767099a7a404d9ad7d47f0e2b/Example_1.circ,logisim_sample_subset/logisim_example_1/source/Example_1.circ,source repository license or homework example notice,cached,1782135125
logisim_combinational_circuit,logisim_sample_subset,logisim,false,true,true,false,false,false,NenadPantelic/Simple-digital-logic-circuits-in-LogiSim,6e9fd4abe7d71b3767099a7a404d9ad7d47f0e2b,Combinational_circuit.circ,https://raw.githubusercontent.com/NenadPantelic/Simple-digital-logic-circuits-in-LogiSim/6e9fd4abe7d71b3767099a7a404d9ad7d47f0e2b/Combinational_circuit.circ,logisim_sample_subset/logisim_combinational_circuit/source/Combinational_circuit.circ,source repository license or homework example notice,cached,1782135125
