claim_id,category,claim_text,expected_status
IST-CL-001,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 1.,SUPPORTED
IST-CL-002,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 2.,SUPPORTED
IST-CL-003,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 3.,SUPPORTED
IST-CL-004,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 4.,SUPPORTED
IST-CL-005,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 5.,SUPPORTED
IST-CL-006,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 6.,SUPPORTED
IST-CL-007,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 7.,SUPPORTED
IST-CL-008,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 8.,SUPPORTED
IST-CL-009,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 9.,SUPPORTED
IST-CL-010,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 10.,SUPPORTED
IST-CL-011,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 11.,SUPPORTED
IST-CL-012,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 12.,SUPPORTED
IST-CL-013,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 13.,SUPPORTED
IST-CL-014,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 14.,SUPPORTED
IST-CL-015,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 15.,SUPPORTED
IST-CL-016,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 16.,SUPPORTED
IST-CL-017,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 17.,SUPPORTED
IST-CL-018,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 18.,SUPPORTED
IST-CL-019,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 19.,SUPPORTED
IST-CL-020,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 20.,SUPPORTED
IST-CL-021,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 21.,SUPPORTED
IST-CL-022,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 22.,SUPPORTED
IST-CL-023,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 23.,SUPPORTED
IST-CL-024,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 24.,SUPPORTED
IST-CL-025,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 25.,SUPPORTED
IST-CL-026,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 26.,SUPPORTED
IST-CL-027,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 27.,SUPPORTED
IST-CL-028,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 28.,SUPPORTED
IST-CL-029,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 29.,SUPPORTED
IST-CL-030,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 30.,SUPPORTED
IST-CL-031,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 31.,SUPPORTED
IST-CL-032,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 32.,SUPPORTED
IST-CL-033,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 33.,SUPPORTED
IST-CL-034,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 34.,SUPPORTED
IST-CL-035,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 35.,SUPPORTED
IST-CL-036,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 36.,SUPPORTED
IST-CL-037,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 37.,SUPPORTED
IST-CL-038,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 38.,SUPPORTED
IST-CL-039,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 39.,SUPPORTED
IST-CL-040,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 40.,SUPPORTED
IST-CL-041,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 41.,SUPPORTED
IST-CL-042,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 42.,SUPPORTED
IST-CL-043,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 43.,SUPPORTED
IST-CL-044,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 44.,SUPPORTED
IST-CL-045,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 45.,SUPPORTED
IST-CL-046,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 46.,SUPPORTED
IST-CL-047,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 47.,SUPPORTED
IST-CL-048,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 48.,SUPPORTED
IST-CL-049,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 49.,SUPPORTED
IST-CL-050,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 50.,SUPPORTED
IST-CL-051,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 51.,SUPPORTED
IST-CL-052,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 52.,SUPPORTED
IST-CL-053,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 53.,SUPPORTED
IST-CL-054,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 54.,SUPPORTED
IST-CL-055,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 55.,SUPPORTED
IST-CL-056,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 56.,SUPPORTED
IST-CL-057,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 57.,SUPPORTED
IST-CL-058,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 58.,SUPPORTED
IST-CL-059,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 59.,SUPPORTED
IST-CL-060,safe_software_simulation_claims,The ngspice replay records software simulation evidence for case 60.,SUPPORTED
IST-CL-061,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 1.,SUPPORTED
IST-CL-062,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 2.,SUPPORTED
IST-CL-063,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 3.,SUPPORTED
IST-CL-064,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 4.,SUPPORTED
IST-CL-065,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 5.,SUPPORTED
IST-CL-066,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 6.,SUPPORTED
IST-CL-067,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 7.,SUPPORTED
IST-CL-068,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 8.,SUPPORTED
IST-CL-069,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 9.,SUPPORTED
IST-CL-070,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 10.,SUPPORTED
IST-CL-071,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 11.,SUPPORTED
IST-CL-072,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 12.,SUPPORTED
IST-CL-073,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 13.,SUPPORTED
IST-CL-074,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 14.,SUPPORTED
IST-CL-075,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 15.,SUPPORTED
IST-CL-076,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 16.,SUPPORTED
IST-CL-077,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 17.,SUPPORTED
IST-CL-078,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 18.,SUPPORTED
IST-CL-079,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 19.,SUPPORTED
IST-CL-080,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 20.,SUPPORTED
IST-CL-081,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 21.,SUPPORTED
IST-CL-082,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 22.,SUPPORTED
IST-CL-083,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 23.,SUPPORTED
IST-CL-084,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 24.,SUPPORTED
IST-CL-085,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 25.,SUPPORTED
IST-CL-086,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 26.,SUPPORTED
IST-CL-087,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 27.,SUPPORTED
IST-CL-088,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 28.,SUPPORTED
IST-CL-089,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 29.,SUPPORTED
IST-CL-090,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 30.,SUPPORTED
IST-CL-091,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 31.,SUPPORTED
IST-CL-092,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 32.,SUPPORTED
IST-CL-093,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 33.,SUPPORTED
IST-CL-094,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 34.,SUPPORTED
IST-CL-095,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 35.,SUPPORTED
IST-CL-096,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 36.,SUPPORTED
IST-CL-097,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 37.,SUPPORTED
IST-CL-098,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 38.,SUPPORTED
IST-CL-099,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 39.,SUPPORTED
IST-CL-100,safe_synthesis_claims,The Yosys report records L4 synthesis evidence for HDL case 40.,SUPPORTED
IST-CL-101,hardware_validation_overclaims,The package provides hardware validation for case 1.,UNSUPPORTED
IST-CL-102,hardware_validation_overclaims,The package provides hardware validation for case 2.,UNSUPPORTED
IST-CL-103,hardware_validation_overclaims,The package provides hardware validation for case 3.,UNSUPPORTED
IST-CL-104,hardware_validation_overclaims,The package provides hardware validation for case 4.,UNSUPPORTED
IST-CL-105,hardware_validation_overclaims,The package provides hardware validation for case 5.,UNSUPPORTED
IST-CL-106,hardware_validation_overclaims,The package provides hardware validation for case 6.,UNSUPPORTED
IST-CL-107,hardware_validation_overclaims,The package provides hardware validation for case 7.,UNSUPPORTED
IST-CL-108,hardware_validation_overclaims,The package provides hardware validation for case 8.,UNSUPPORTED
IST-CL-109,hardware_validation_overclaims,The package provides hardware validation for case 9.,UNSUPPORTED
IST-CL-110,hardware_validation_overclaims,The package provides hardware validation for case 10.,UNSUPPORTED
IST-CL-111,hardware_validation_overclaims,The package provides hardware validation for case 11.,UNSUPPORTED
IST-CL-112,hardware_validation_overclaims,The package provides hardware validation for case 12.,UNSUPPORTED
IST-CL-113,hardware_validation_overclaims,The package provides hardware validation for case 13.,UNSUPPORTED
IST-CL-114,hardware_validation_overclaims,The package provides hardware validation for case 14.,UNSUPPORTED
IST-CL-115,hardware_validation_overclaims,The package provides hardware validation for case 15.,UNSUPPORTED
IST-CL-116,hardware_validation_overclaims,The package provides hardware validation for case 16.,UNSUPPORTED
IST-CL-117,hardware_validation_overclaims,The package provides hardware validation for case 17.,UNSUPPORTED
IST-CL-118,hardware_validation_overclaims,The package provides hardware validation for case 18.,UNSUPPORTED
IST-CL-119,hardware_validation_overclaims,The package provides hardware validation for case 19.,UNSUPPORTED
IST-CL-120,hardware_validation_overclaims,The package provides hardware validation for case 20.,UNSUPPORTED
IST-CL-121,hardware_validation_overclaims,The package provides hardware validation for case 21.,UNSUPPORTED
IST-CL-122,hardware_validation_overclaims,The package provides hardware validation for case 22.,UNSUPPORTED
IST-CL-123,hardware_validation_overclaims,The package provides hardware validation for case 23.,UNSUPPORTED
IST-CL-124,hardware_validation_overclaims,The package provides hardware validation for case 24.,UNSUPPORTED
IST-CL-125,hardware_validation_overclaims,The package provides hardware validation for case 25.,UNSUPPORTED
IST-CL-126,hardware_validation_overclaims,The package provides hardware validation for case 26.,UNSUPPORTED
IST-CL-127,hardware_validation_overclaims,The package provides hardware validation for case 27.,UNSUPPORTED
IST-CL-128,hardware_validation_overclaims,The package provides hardware validation for case 28.,UNSUPPORTED
IST-CL-129,hardware_validation_overclaims,The package provides hardware validation for case 29.,UNSUPPORTED
IST-CL-130,hardware_validation_overclaims,The package provides hardware validation for case 30.,UNSUPPORTED
IST-CL-131,hardware_validation_overclaims,The package provides hardware validation for case 31.,UNSUPPORTED
IST-CL-132,hardware_validation_overclaims,The package provides hardware validation for case 32.,UNSUPPORTED
IST-CL-133,hardware_validation_overclaims,The package provides hardware validation for case 33.,UNSUPPORTED
IST-CL-134,hardware_validation_overclaims,The package provides hardware validation for case 34.,UNSUPPORTED
IST-CL-135,hardware_validation_overclaims,The package provides hardware validation for case 35.,UNSUPPORTED
IST-CL-136,hardware_validation_overclaims,The package provides hardware validation for case 36.,UNSUPPORTED
IST-CL-137,hardware_validation_overclaims,The package provides hardware validation for case 37.,UNSUPPORTED
IST-CL-138,hardware_validation_overclaims,The package provides hardware validation for case 38.,UNSUPPORTED
IST-CL-139,hardware_validation_overclaims,The package provides hardware validation for case 39.,UNSUPPORTED
IST-CL-140,hardware_validation_overclaims,The package provides hardware validation for case 40.,UNSUPPORTED
IST-CL-141,hardware_validation_overclaims,The package provides hardware validation for case 41.,UNSUPPORTED
IST-CL-142,hardware_validation_overclaims,The package provides hardware validation for case 42.,UNSUPPORTED
IST-CL-143,hardware_validation_overclaims,The package provides hardware validation for case 43.,UNSUPPORTED
IST-CL-144,hardware_validation_overclaims,The package provides hardware validation for case 44.,UNSUPPORTED
IST-CL-145,hardware_validation_overclaims,The package provides hardware validation for case 45.,UNSUPPORTED
IST-CL-146,hardware_validation_overclaims,The package provides hardware validation for case 46.,UNSUPPORTED
IST-CL-147,hardware_validation_overclaims,The package provides hardware validation for case 47.,UNSUPPORTED
IST-CL-148,hardware_validation_overclaims,The package provides hardware validation for case 48.,UNSUPPORTED
IST-CL-149,hardware_validation_overclaims,The package provides hardware validation for case 49.,UNSUPPORTED
IST-CL-150,hardware_validation_overclaims,The package provides hardware validation for case 50.,UNSUPPORTED
IST-CL-151,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 1.,UNSUPPORTED
IST-CL-152,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 2.,UNSUPPORTED
IST-CL-153,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 3.,UNSUPPORTED
IST-CL-154,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 4.,UNSUPPORTED
IST-CL-155,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 5.,UNSUPPORTED
IST-CL-156,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 6.,UNSUPPORTED
IST-CL-157,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 7.,UNSUPPORTED
IST-CL-158,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 8.,UNSUPPORTED
IST-CL-159,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 9.,UNSUPPORTED
IST-CL-160,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 10.,UNSUPPORTED
IST-CL-161,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 11.,UNSUPPORTED
IST-CL-162,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 12.,UNSUPPORTED
IST-CL-163,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 13.,UNSUPPORTED
IST-CL-164,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 14.,UNSUPPORTED
IST-CL-165,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 15.,UNSUPPORTED
IST-CL-166,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 16.,UNSUPPORTED
IST-CL-167,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 17.,UNSUPPORTED
IST-CL-168,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 18.,UNSUPPORTED
IST-CL-169,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 19.,UNSUPPORTED
IST-CL-170,vivado_timing_overclaims,Vivado timing closure was achieved for HDL case 20.,UNSUPPORTED
